file,seed,kind,label,cycle,speed_m_s,distance_to_first_turn_m,K,realization,rng_seed,n_safe,hit,solve_ms,best_feasible_cost,delta_j_safe,delta_j_safe_over_lambda,ess_safe,best_stop_clearance_m,best_collision_clearance_m,best_first_raw_control,best_first_conditioned_control
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,5,7013205,0,False,92.91570899949875,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,6,7013206,0,False,92.45075000217184,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,7,7013207,0,False,92.7839999931166,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,8,7013208,0,False,92.74616600305308,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,9,7013209,0,False,92.97791600693017,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,10,7013210,0,False,92.863749989192,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,11,7013211,0,False,93.33725000033155,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,12,7013212,0,False,95.58850000030361,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,13,7013213,0,False,93.58549999888055,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,14,7013214,0,False,98.25966700736899,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,15,7013215,0,False,93.5451249970356,,,,0.0,,,,
